,Close
572,4.44
573,4.92
574,5.07
575,5.1
576,4.9
577,4.99
578,4.9
579,5.05
580,5.0
581,4.94
582,4.96
583,5.44
584,5.4
585,5.38
586,4.98
587,4.88
588,4.75
589,4.74
590,4.85
591,4.83
592,4.93
593,5.01
594,4.94
595,4.98
596,4.8
597,4.89
598,4.94
599,4.98
600,5.02
601,5.19
602,5.48
603,5.22
604,5.16
605,5.14
606,5.02
607,5.0
608,5.18
609,5.15
610,5.09
611,5.1
612,5.03
613,5.0
614,5.09
615,5.13
616,5.14
617,5.15
618,5.16
619,5.15
620,5.15
621,5.16
622,5.19
623,5.28
624,5.28
625,5.47
626,5.66
627,5.62
628,5.7
629,5.95
630,6.6
631,6.47
632,6.65
633,6.8
634,6.59
635,6.45
636,6.67
637,6.69
638,6.75
639,6.55
640,6.73
641,6.87
642,7.24
643,7.32
644,7.69
645,8.29
646,9.4
647,9.23
648,9.0
649,8.96
650,8.9
651,8.93
652,9.15
653,9.54
654,11.12
655,11.19
656,11.04
657,12.0
658,11.6
659,11.87
660,12.67
661,15.4
662,12.0
663,10.3
664,10.25
665,10.25
666,12.15
667,11.21
668,10.84
669,10.19
670,10.59
671,11.17
672,11.21
673,11.13
674,11.38
675,11.75
676,11.99
677,12.09
678,12.69
679,12.44
680,12.3
681,12.28
682,12.44
683,12.47
684,12.88
685,13.09
686,12.9
687,12.08
688,12.15
689,12.15
690,12.0
691,11.99
692,11.96
693,11.85
694,11.81
695,11.82
696,11.1
697,10.61
698,10.85
699,11.28
700,10.6
701,10.9
702,11.22
703,11.07
704,10.94
705,11.13
706,11.11
707,11.8
708,11.8
709,11.78
710,12.43
711,12.6
712,12.53
713,12.6
714,12.69
715,12.68
716,13.5
717,13.68
718,13.53
719,13.64
720,13.8
721,13.77
722,13.5
723,13.4
724,13.65
725,13.49
726,13.45
727,13.47
728,13.67
729,13.59
730,13.4
731,13.49
732,13.53
733,13.83
734,14.32
735,14.35
736,14.3
737,14.69
738,15.99
739,15.89
740,17.59
741,19.19
742,17.62
743,18.45
744,19.7
745,21.3
746,20.68
747,20.79
748,22.15
749,23.7
750,24.2
751,26.1
752,27.0
753,25.61
754,28.79
755,29.8
756,29.28
757,30.25
758,31.4
759,34.88
760,34.1
761,40.04
762,42.49
763,46.01
764,47.74
765,46.8
766,47.25
767,47.44
768,57.76
769,73.8
770,63.0
771,73.89
772,88.9
773,89.05
774,92.5
775,108.73
776,132.0
777,142.5
778,184.0
779,198.0
780,76.49
781,91.0
782,91.0
783,96.5
784,123.86
785,123.52
786,153.2
787,135.6
788,135.99
789,139.11
790,105.0
791,111.99
792,120.95
793,113.95
794,117.68
795,114.32
796,119.0
797,115.09
798,123.75
799,122.65
800,122.64
801,131.5
802,134.05
803,128.32
804,131.0
805,129.2
806,120.0
807,122.41
808,110.3
809,98.47
810,108.0
811,109.0
812,101.97
813,100.53
814,107.84
815,111.0
816,107.68
817,103.87
818,102.79
819,95.85
820,91.0
821,82.8
822,67.86
823,70.94
824,76.33
825,87.15
826,96.0
827,98.38
828,97.97
829,93.41
830,88.94
831,95.4
832,96.2
833,95.2
834,101.04
835,104.96
836,105.5
837,104.67
838,106.88
839,101.9
840,102.62
841,104.99
842,100.03
843,98.51
844,99.02
845,104.59
846,111.01
847,108.79
848,111.8
849,119.25
850,124.79
851,130.82
